collection,relative_path,bytes,sha256,pages,words,text_method,status,error
data,retrospective_v1/kossakowski_esm/ESMdata/Codebook.pdf,129763,639f73ff2c082969c9634087c0716599d7b9e2bdbd3da7224c6ed4f9a00fe74b,18,2174,embedded_text,ok,
data,retrospective_v1/kossakowski_esm/ESMdata/MissingnessMomentaryItems.pdf,154390,917738648282cd41a51f21dc8ee5786202bf2f7259ed0fb269c54e3a14e969c7,8,926,embedded_text,ok,
data,retrospective_v1/reference_pdfs/Johnson2014_IPIP-NEO-120.pdf,348081,c4eb1633688dd36664ab4fc586beb244a2c5d4b9e90a16c3d06af67f94e9a10b,12,11743,embedded_text,ok,
data,retrospective_v1/reference_pdfs/Kossakowski2017_datapaper_uva.pdf,988981,2a6601a780a389a66b66d5e2b090e3a1c46a2886e8bf796c178f5cbba1e26252,4,2393,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/01. What is Wrong with the DSM.pdf",139074,78002b418779e169490857d3ebd8dbd97697ce707dcba755757b367d203f8971,22,10417,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/02. Debating DSM-5_ diagnosis and the sociology.pdf",327085,16e78aeae91e51423ea982e06931cdb0842686df2ef1168c94a881dc33426cca,5,4998,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/03. Diagnosis and its discontents.pdf",153913,7e4cca54c67410655b7315e8600e8a6c4c7ec578cf29517cce0a9ce618d75d04,19,9063,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/04. The DSM-5 Definition of Mental Disorder_Critique and Alternatives.pdf",212981,39cfdb5e0c97b11b160ae5408c1a572232705c85c2be1159c973e08d0d837bb3,24,11571,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/05. The DSM and its lure of legitimacy.pdf",178792,0791e7bdfb66c608effa941020604f397e839193d1604ceb3ccc8cae49160e31,22,10690,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/06. Critique of DSM, medicalisation and graphic medicine.pdf",1446273,6350b2df0dcb34ebab7705bb2b703fda8c00098ad4a7e4ee81f595e42b1cc474,16,7236,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/07. Disorder as harmful dysfunction_A conceptual critique of DSM-III-R's definition of mental disorder..pdf",2149167,edae096515091ba40d4bc0667f33ed12705ff65d6065bd35513f458bdda5ec16,16,16572,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/08. Fundamental Flaws of the DSM_Re-Envisioning Diagnosis.pdf",152347,fb8b3c9929374e51677decdb5fb733ba83903b4583fe11246a7cdfe5304ddb5d,16,6603,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/09. DSM-5, psychiatric epidemiology and the false positives problem.pdf",347928,2667b8d41823a1d47be556c5fe896b4ea2fa01940a94a584fd35b112c1cac400,10,6686,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/10. From diagnosis to dialogue – reconsidering the DSM as a conversation piece in mental health care a hypothesis and theory.pdf",760711,0310a67fb2cb7405c61720aa3493996c24a2bf809856a02d9ffb78582009df62,14,13159,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/11. Avoiding the pitfalls of the DSM-5_A primer for health professionals.pdf",570834,245cd05eb92d3579278209fc2dbcdc122ea8724968d6bb5cb56953f0cbfc8dd9,3,2017,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/12.DSM-5 controversies.pdf",143005,c6e6115d4581e87dfbc4c7f9015b3bebd6addc8d551fd66e64c4503897683645,5,3885,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/13. DSM-5 and two insider critiques.pdf",110958,f26c24a6fa1758a02c79e92acf177f3a57a9700f5e129a68c5fa0f6c2e0ef271,6,2147,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/14. Breaking Bad_DSM-5 Description, Criticisms, and Recommendations.pdf",111268,a678acf1680eaf0696c424a1694c442958a4ddb69f4d8940790d2a79e4f51c22,4,3218,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/15. The critical reception of the DSM-5_Towards a typology of audiences.pdf",246164,04c7f51e3bb79e369717896ae76277687b7f3db6b765140368afd6ef1ea29647,17,9028,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/16. DSM-5 two years later_facts, myths and some key open issues.pdf",77647,96358864baf25658b718f2bafd78583cb98d047c3b2be4b0e1225a5d34607932,3,1893,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/17. The DSM-5_Classification and criteria changes.pdf",104547,5b539c25163d3ff8bec074d8a9549db6f836e67847cc4327fa92f743a1c36803,7,5832,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/18. DSM-5-TR Rationale, Process, and Overview of Changes.pdf",722363,f0bb5649676c280592d62e8fc9ecbdab8339c31f9587e8e2c94f39f88b5235b5,7,5257,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/19. Definitions of “Mental Disorder” from DSM-III to DSM-5.pdf",353715,3541bd404d460660d10859546217ddfdb0ed3d1a2991b38b4c8f2c43414180f0,18,10914,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/20. How the DSM is used in clinical practice.pdf",122833,80c10ab0c3681fee39e49870eeff8f46fee07350f51fdf2517fd71a935950d03,5,4751,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/21. How Do Clinicians Actually Use the Diagnostic and Statistical Manual of Mental Disorders in Clinical Practice and Why We Need to Know More.pdf",125880,6c5ff9c0c2f24d2dc7864e1865d7a2bc91e54b42fb58a40fe980c693c73e9085,4,4954,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/22. Diagnosing the diagnostic and statistical manual of mental disorders.pdf",277708,f3204eedc13e1290bf9a4b47ba38288c38093b93e6921bc4276679c6cf529e8e,5,2232,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/23. Problems WithDSM–5Somatic Symptom Disorder.pdf",295389,5650e5b28a4922605b6dee900a2229b8832be8b86428da10708eab3fab6f3083,9,3585,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/24. The DSM-5 Alternative Model for Personality Disorders.pdf",6070844,72f9bef2a44f6c04c5ff10abc4b6c95a3da35ea25d860b9ab331a9687307f772,313,126364,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/25. DSM-5 - Pros and Cons.pdf",135568,ddb097a20cc680da3279c1f4f90c79fddb8ba2885c8e551cb11e935da809afc1,6,4625,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/26. From diagnosis to dialogue – reconsidering the DSM as a conversation piece in mental health care_a hypothesis and theory.pdf",760711,0310a67fb2cb7405c61720aa3493996c24a2bf809856a02d9ffb78582009df62,14,13159,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/27. Demand side management_Benefits and challenges.pdf",357131,7b62219b492968381006baa21f0ed9392be93e88128eceea650bbbbf535c6db9,8,7230,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/28. The Future of DSM Are Functioning and Quality of Life Essential Elements of a Complete Psychiatric Diagnosis.pdf",177266,41f9039625f96fd07ff4038195b72e229d7f9baf6c1cec1d14da194e73b4f8d2,7,6270,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/29. Functional Classification of Psychiatric Disorders A Luminous Future.pdf",83501,c7df2a8c030090285e8b5b5b07b0128422a0f103d38085e894e3cde59bc29a0a,5,3315,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/30. Process and Content of DSM-5.pdf",167545,6bd1d375b057fc0b97ce9f68fb87a5ba7195d9b9bccbc911b5fe848fb044fa79,15,9582,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/31. Responses to the Publication of the American Psychiatric Association’s DSM-5.pdf",565755,225c8acd850f2c1ab904f3a744dd2424be12536d8a5d322100ea2e6fa21e20ad,24,9160,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/32. Diagnosing the diagnostic and statistical manual of mental disorders.pdf",277708,f3204eedc13e1290bf9a4b47ba38288c38093b93e6921bc4276679c6cf529e8e,5,2232,embedded_text,ok,
